Complaint ID,Complaint Text,Category
CMP00001,I was charged twice for the same transaction.,Loan Issue
CMP00002,Suspicious transactions appeared on my credit card statement.,Loan Issue
CMP00003,My credit card application was rejected without any reason.,Account Issue
CMP00004,My debit card was blocked without notification.,Loan Issue
CMP00005,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00006,My credit card application was rejected without any reason.,Fraud
CMP00007,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00008,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP00009,The interest rate applied to my loan is incorrect.,Fraud
CMP00010,My credit card application was rejected without any reason.,Technical Issue
CMP00011,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00012,My credit card application was rejected without any reason.,Technical Issue
CMP00013,Loan approval is delayed despite submitting all required documents.,Fraud
CMP00014,The interest rate applied to my loan is incorrect.,Billing Error
CMP00015,My credit card application was rejected without any reason.,Loan Issue
CMP00016,My debit card was blocked without notification.,Billing Error
CMP00017,Unauthorized withdrawals from my savings account.,Account Issue
CMP00018,Loan approval is delayed despite submitting all required documents.,Account Issue
CMP00019,I was charged twice for the same transaction.,Billing Error
CMP00020,The system keeps showing an error when I try to make a payment.,Account Issue
CMP00021,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00022,Unauthorized withdrawals from my savings account.,Billing Error
CMP00023,My debit card was blocked without notification.,Technical Issue
CMP00024,"I need to change my mailing address, but your online form isn't working.",Fraud
CMP00025,"I need to change my mailing address, but your online form isn't working.",Technical Issue
CMP00026,The interest rate applied to my loan is incorrect.,Technical Issue
CMP00027,Suspicious transactions appeared on my credit card statement.,Account Issue
CMP00028,Haven't received my refund after 30 days of waiting.,Loan Issue
CMP00029,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00030,"I need to change my mailing address, but your online form isn't working.",Account Issue
CMP00031,My credit card application was rejected without any reason.,Fraud
CMP00032,Haven't received my refund after 30 days of waiting.,Fraud
CMP00033,Suspicious transactions appeared on my credit card statement.,Fraud
CMP00034,I was charged twice for the same transaction.,Loan Issue
CMP00035,The interest rate applied to my loan is incorrect.,Fraud
CMP00036,The system keeps showing an error when I try to make a payment.,Loan Issue
CMP00037,My debit card was blocked without notification.,Account Issue
CMP00038,Haven't received my refund after 30 days of waiting.,Technical Issue
CMP00039,My debit card was blocked without notification.,Technical Issue
CMP00040,Loan approval is delayed despite submitting all required documents.,Billing Error
CMP00041,My debit card was blocked without notification.,Loan Issue
CMP00042,Unauthorized withdrawals from my savings account.,Account Issue
CMP00043,I was charged twice for the same transaction.,Billing Error
CMP00044,"I need to change my mailing address, but your online form isn't working.",Loan Issue
CMP00045,I was charged twice for the same transaction.,Fraud
CMP00046,Loan approval is delayed despite submitting all required documents.,Technical Issue
CMP00047,My credit card application was rejected without any reason.,Fraud
CMP00048,My debit card was blocked without notification.,Account Issue
CMP00049,My credit card application was rejected without any reason.,Account Issue
